Browser,Owner,Certificate Issuer Organization,Certificate Issuer Organizational Unit,Common Name or Certificate Name,SHA-1 Fingerprint,Valid From [GMT],Valid To [GMT],Signing Key Parameters,Signature Algorithm,Trust Bits,EV Policy OID(s),Approval Bug,NSS Release When First Included,Firefox Release When First Included,URL to Test Website or Example Cert,Mozilla Applied Constraints,Company Website,Certificate Policy (CP),Certification Practice Statement (CPS),Standard Audit,BR Audit,EV Audit,Auditor,Standard Audit Type,Standard Audit Statement Dt,Comments,Country
Firefox,Comodo,AddTrust AB,AddTrust TTP Network,AddTrust Public CA Root,2AB628485E78FBF3AD9E7910DD6BDF99722C96E5,2000 May 30,2020 May 30,2048,SHA-1,Code; Email; Websites,Not EV,legacy,,Firefox 1,https://addtrustpubliccaroot.comodoca.com/,,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,,Ernst & Young,WebTrust,2014.09.10,,
Firefox,Comodo,AddTrust AB,AddTrust TTP Network,AddTrust Qualified CA Root,4D2378EC919539B5007F758F033B211EC54D8BCF,2000 May 30,2020 May 30,2048,SHA-1,Code; Email; Websites,Not EV,legacy,,Firefox 1,https://addtrustqualifiedcaroot.comodoca.com/,,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,,Ernst & Young,WebTrust,2014.09.10,,
Firefox,Comodo,AddTrust AB,AddTrust External TTP Network,USERTrust Legacy Secure Server CA,7C2F91E2BB9668A9C6F6BD10192C6B525A1BBA48,2014 Aug 05,2015 Nov 01,2048,SHA-1,,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=1045189#c7,NSS 3.16.4,Firefox 32,No longer issuing SSL certs.,,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,,Ernst & Young,WebTrust,2014.09.10,This cross-signed intermediate certificate was included to help with the migration off of 1024-bit roots.,
Firefox,Trend Micro,AffirmTrust,,AffirmTrust Commercial,F9B5B632455F9CBEEC575F80DCE96E2CC7B278B7,2010 Jan 29,2030 Dec 31,2048,SHA-256,Websites,1.3.6.1.4.1.34697.2.1,https://bugzilla.mozilla.org/show_bug.cgi?id=543639,NSS 3.12.10,Firefox 6.0,https://commercial.affirmtrust.com/,,http://webappsecurity.trendmicro.com/,http://webappsecurity.trendmicro.com/resources/,http://webappsecurity.trendmicro.com/resources/,https://cert.webtrust.org/SealFile?seal=1700&file=pdf,https://cert.webtrust.org/SealFile?seal=1702&file=pdf,https://cert.webtrust.org/SealFile?seal=1701&file=pdf,Grant Thornton,WebTrust,2014.06.30,,
Firefox,Trend Micro,AffirmTrust,,AffirmTrust Networking,293621028B20ED02F566C532D1D6ED909F45002F,2010 Jan 29,2030 Dec 31,2048,SHA-1,Websites,1.3.6.1.4.1.34697.2.2,https://bugzilla.mozilla.org/show_bug.cgi?id=543639,NSS 3.12.10,Firefox 6.0,https://networking.affirmtrust.com:4431,,http://webappsecurity.trendmicro.com/,http://webappsecurity.trendmicro.com/resources/,http://webappsecurity.trendmicro.com/resources/,https://cert.webtrust.org/SealFile?seal=1700&file=pdf,https://cert.webtrust.org/SealFile?seal=1702&file=pdf,https://cert.webtrust.org/SealFile?seal=1701&file=pdf,Grant Thornton,WebTrust,2014.06.30,,
Firefox,Trend Micro,AffirmTrust,,AffirmTrust Premium,D8A6332CE0036FB185F6634F7D6A066526322827,2010 Jan 29,2040 Dec 31,4096,SHA-384,Websites,1.3.6.1.4.1.34697.2.3,https://bugzilla.mozilla.org/show_bug.cgi?id=543639,NSS 3.12.10,Firefox 6.0,https://premium.affirmtrust.com:4432/,,http://webappsecurity.trendmicro.com/,http://webappsecurity.trendmicro.com/resources/,http://webappsecurity.trendmicro.com/resources/,https://cert.webtrust.org/SealFile?seal=1700&file=pdf,https://cert.webtrust.org/SealFile?seal=1702&file=pdf,https://cert.webtrust.org/SealFile?seal=1701&file=pdf,Grant Thornton,WebTrust,2014.06.30,,
Firefox,Trend Micro,AffirmTrust,,AffirmTrust Premium ECC,B8236B002F1D16865301556C11A437CAEBFFC3BB,2010 Jan 29,2040 Dec 31,ECC,ECC,Websites,1.3.6.1.4.1.34697.2.4,https://bugzilla.mozilla.org/show_bug.cgi?id=543639,NSS 3.12.10,Firefox 6.0,https://premiumecc.affirmtrust.com:4433/,,http://webappsecurity.trendmicro.com/,http://webappsecurity.trendmicro.com/resources/,http://webappsecurity.trendmicro.com/resources/,https://cert.webtrust.org/SealFile?seal=1700&file=pdf,https://cert.webtrust.org/SealFile?seal=1702&file=pdf,https://cert.webtrust.org/SealFile?seal=1701&file=pdf,Grant Thornton,WebTrust,2014.06.30,,
Firefox,"Consorci Administració Oberta de Catalunya (Consorci AOC, CATCert)",Agencia Catalana de Certificacio (NIF Q-0801176-I),Jerarquia Entitats de Certificacio Catalanes,EC-ACC,28903A635B5280FAE6774C0B6DA7D6BAA64AF2E8,2003 Jan 07,2031 Jan 07,2048,SHA-1,Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=295474,NSS 3.13.2,Firefox 11,https://www.aoc.cat/,,http://www.aoc.cat/Inici/SERVEIS/Signatura-electronica-i-seguretat/CATCert,http://www.aoc.cat/content/download/25607/46726/file/politicaGeneralCertificacioAngles.pdf,http://www.aoc.cat/Inici/SERVEIS/Signatura-electronica-i-seguretat/CATCert/Regulacio,https://cert.webtrust.org/SealFile?seal=1647&file=pdf,NONE!,,Ernst & Young,WebTrust,2014.03.10,,
Firefox,AS Sertifitseerimiskeskuse (SK),AS Sertifitseerimiskeskus,,EE Certification Centre Root CA,C9A8B9E755805E58E35377A725EBAFC37B27CCD7,2010 Oct 30,2030 Dec 17,2048,SHA-1,Code; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=624356,NSS 3.14,Firefox 18,https://www.openxades.org/docportal/,,http://www.sk.ee/,http://www.sk.ee/en/repository/CPS,http://www.sk.ee/en/repository/CPS,http://www.sk.ee/en/repository/audit/,http://www.sk.ee/en/repository/audit/,,KPMG,ETSI TS 102 042,2015.01.30,,
Firefox,AS Sertifitseerimiskeskuse (SK),AS Sertifitseerimiskeskus,,Juur-SK,409D4BD917B55C27B69B64CB9822440DCD09B889,2001 Aug 30,2016 Aug 26,2048,SHA-1,Code; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=414520,NSS 3.12.6,Firefox 3.6.2,https://www.sk.ee,,http://www.sk.ee/,http://www.sk.ee/en/repository/CPS,http://www.sk.ee/en/repository/CPS,http://www.sk.ee/en/repository/audit/,http://www.sk.ee/en/repository/audit/,,KPMG,ETSI TS 102 042,2015.01.30,,
