Approval Bug,Auditor,BR Audit,Browser,Certificate Issuer Organization,Certificate Issuer Organizational Unit,Certificate Policy (CP),Certification Practice Statement (CPS),Common Name or Certificate Name,Company Website,EV Audit,EV Policy OID(s),Firefox Release When First Included,Geographic Focus,Mozilla Applied Constraints,NSS Release When First Included,Owner,SHA-1 Fingerprint,Signature Algorithm,Signing Key Parameters,Standard Audit,Standard Audit Statement Dt ,Standard Audit Type,Trust Bits,URL to Test Website or Example Cert,Valid From [GMT],Valid To [GMT]
https://bugzilla.mozilla.org/show_bug.cgiid=455878,QSCert,http://www.disig.eu/_pdf/Audit2014_report.pdf,Firefox,Disig a.s.,,http://www.disig.eu/index.phpid=docs&L=1,http://www.disig.eu/index.phpid=docs&L=1,CA Disig,http://www.disig.eu/,,Not EV,Firefox 3.6.2,Slovakia,,NSS 3.12.6,CA Disig a.s.,2AC8D58B57CEBF2F49AFF2FC768F511462907A41,SHA-1,2048,http://www.disig.eu/_pdf/Audit2014_report.pdf,2014.10.29 ,ETSI TS 102 042,Websites;Email;Code,https://testssl-valid.disig.sk/index.en.html,2006 Mar 22,2016 Mar 22
https://bugzilla.mozilla.org/show_bug.cgiid=792377,QSCert,http://www.disig.eu/_pdf/Audit2014_report.pdf,Firefox,Disig a.s.,,http://www.disig.eu/index.phpid=docs&L=1,http://www.disig.eu/index.phpid=docs&L=1,CA Disig Root R1,http://www.disig.eu/,,Not EV,Firefox 23,Slovakia,,NSS 3.15,CA Disig a.s.,8E1C74F8A620B9E58AF461FAEC2B4756511A52C6,SHA-1,4096,http://www.disig.eu/_pdf/Audit2014_report.pdf,2014.10.29 ,ETSI TS 102 042,Websites;Email;Code,https://testssl-valid-r1i1.disig.sk/,2012 Jul 19,2042 Jul 19
https://bugzilla.mozilla.org/show_bug.cgiid=792377,QSCert,http://www.disig.eu/_pdf/Audit2014_report.pdf,Firefox,Disig a.s.,,http://www.disig.eu/index.phpid=docs&L=1,http://www.disig.eu/index.phpid=docs&L=1,CA Disig Root R2,http://www.disig.eu/,,Not EV,Firefox 23,Slovakia,,NSS 3.15,CA Disig a.s.,B561EBEAA4DEE4254B691A98A55747C234C7D971,SHA-256,4096,http://www.disig.eu/_pdf/Audit2014_report.pdf,2014.10.29 ,ETSI TS 102 042,Websites;Email;Code,https://testssl-valid-r2i1.disig.sk/,2012 Jul 19,2042 Jul 19
https://bugzilla.mozilla.org/show_bug.cgiid=406968,Auren,https://cert.webtrust.org/SealFileseal=1925&file=pdf,Firefox,AC Camerfirma S.A.,,http://policy.camerfirma.com/,http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_V_3_2_5_eng-GB-signed.pdf,Chambers of Commerce Root - 2008,http://www.camerfirma.com,https://cert.webtrust.org/SealFileseal=1926&file=pdf,1.3.6.1.4.1.17326.10.14.2.1.2,Firefox 4.0,Spain,,NSS 3.12.9,Camerfirma,786A74AC76AB147F9C6A3050BA9EA87EFE9ACE3C,SHA-1,4096,https://cert.webtrust.org/SealFileseal=1925&file=pdf,2015.06.17 ,WebTrust,Websites;Email;Code,https://www.camerfirma.com,2008 Aug 01,2038 Jul 31
https://bugzilla.mozilla.org/show_bug.cgiid=406968,Auren,https://cert.webtrust.org/SealFileseal=1925&file=pdf,Firefox,AC Camerfirma S.A.,,http://policy.camerfirma.com/,http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_V_3_2_5_eng-GB-signed.pdf,Global Chambersign Root - 2008,http://www.camerfirma.com,https://cert.webtrust.org/SealFileseal=1926&file=pdf,1.3.6.1.4.1.17326.10.8.12.1.2,Firefox 4.0,Spain,,NSS 3.12.9,Camerfirma,4ABDEEEC950D359C89AEC752A12C5B29F6D6AA0C,SHA-1,4096,https://cert.webtrust.org/SealFileseal=1925&file=pdf,2015.06.17 ,WebTrust,Websites;Email;Code,Not yet issuing SSL certs.,2008 Aug 01,2038 Jul 31
https://bugzilla.mozilla.org/show_bug.cgiid=261778,Auren,https://cert.webtrust.org/SealFileseal=1925&file=pdf,Firefox,AC Camerfirma SA CIF A82743287,http://www.chambersign.org,http://policy.camerfirma.com/,http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_V_3_2_5_eng-GB-signed.pdf,Chambers of Commerce Root,http://www.camerfirma.com,,Not EV,Firefox 1,Spain,,,Camerfirma,6E3A55A4190C195C93843CC0DB722E313061F0B1,SHA-1,2048,https://cert.webtrust.org/SealFileseal=1925&file=pdf,2015.06.17 ,WebTrust,Websites;Email;Code,https://server1.camerfirma.com/,2003 Sep 30,2037 Sep 30
https://bugzilla.mozilla.org/show_bug.cgiid=261778,Auren,https://cert.webtrust.org/SealFileseal=1925&file=pdf,Firefox,AC Camerfirma SA CIF A82743287,http://www.chambersign.org,http://policy.camerfirma.com/,http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_V_3_2_5_eng-GB-signed.pdf,Global Chambersign Root,http://www.camerfirma.com,,Not EV,Firefox 1,Spain,,,Camerfirma,339B6B1450249B557A01877284D9E02FC3D2D8E9,SHA-1,2048,https://cert.webtrust.org/SealFileseal=1925&file=pdf,2015.06.17 ,WebTrust,Websites;Email;Code,Not yet issuing SSL certs.,2003 Sep 30,2037 Sep 30
https://bugzilla.mozilla.org/show_bug.cgiid=401262,Deloitte & Touche,Websites trust bit turned off in Firefox 32.,Firefox,Sociedad Cameral de Certificación Digital - Certicámara S.A.,,http://www.certicamara.com/dpc/,http://www.certicamara.com/dpc/,AC Raíz Certicámara S.A.,http://www.certicamara.com,,Not EV,Firefox 3.5,Colombia and Andean Regions,,NSS 3.12.4,Certicámara S.A.,CBA1C5F8B0E35EB8B94512D3F934A2E90610D336,SHA-1,4096,https://cert.webtrust.org/SealFileseal=1920&file=pdf,2015.08.14 ,WebTrust,Email;Code,Websites trust bit turned off in Firefox 32.,2006 Nov 27,2030 Apr 02
https://bugzilla.mozilla.org/show_bug.cgiid=393166,LSTI,http://www.lsti-certification.fr/images/liste_entreprise/Liste%20PSCe.pdf,Firefox,Dhimyotis,,https://www.certigna.fr/Certigna/PC,https://bugzilla.mozilla.org/attachment.cgiid=364146,Certigna,http://www.certigna.fr/,,Not EV,Firefox 3.5,"France, Europe",,NSS 3.12.4,Certigna,B12E13634586A46F1AB2606837582DC4ACFD9497,SHA-1,2048,http://www.lsti-certification.fr/images/liste_entreprise/Liste%20PSCe.pdf,2015.01.15 ,ETSI TS 102 042,Websites;Email,https://www.certigna.fr,2007 Jun 29,2027 Jun 29
https://bugzilla.mozilla.org/show_bug.cgiid=545614,LSTI,https://bugzilla.mozilla.org/attachment.cgiid=8652034,Firefox,Certinomis,0002 433998903,http://www.certinomis.com/documents-et-liens/nos-politiques,http://www.certinomis.com/documents-et-liens/nos-politiques,Certinomis - Autorité Racine,http://www.certinomis.fr,,Not EV,Firefox 6.0.2,France,,NSS 3.12.11,Certinomis,2E14DAEC28F0FA1E8E389A4EABEB26C00AD383C3,SHA-1,4096,http://www.lsti-certification.fr/images/liste_entreprise/Liste%20PSCe.pdf,2015.04.03 ,ETSI TS 102 042,Websites,https://w3-test.certinomis.com,2008 Sep 17,2028 Sep 17
